label	text_a
12	用手机登机牌可以托运行李吗
1	常用联系人怎么添加
3	拥挤度
1	您好 我想取消手机值机
13	我的钱包在哪里
12	面膜可以带上飞机吗
13	从哪里找到我的电子登机牌
3	能帮我查到我是什么航空公司吗
19	投诉你们软件更新界面，航班信息字太小，机场字体也太小，颜色也浅，根本看不清，今天造成我走错机场，还是原来界面看着舒服
15	机上wifi怎么申请
1	怎么没有值机记录
11	如何订票
1	行程保护不能选座位了
5	有效乘机身份证件
0	为什么台湾通行证行程显示不出来
15	错误代码1040806
1	选好座位可以更改吗？
12	请问手提行李额是多少
4	您好，身份证变更不了，怎么办？
12	网上值机后，行李箱怎么办
19	你好😊
1	你好 怎么选座
14	在去哪网购买的机票，可以在机场打印行程单吗
15	去西藏的TV9816什么时候可以值机
1	你好！怎么选座位？
14	补打发票怎样
15	加了QQ ，没有人验证？？
8	首都国际机场 客服电话
1	选座位页面在哪里
15	我想问下，我选座取消后再选就提示链接超时
1	一直不可以选座 我一直关注着 多看几次 就限制了
14	我的发票什么时候能收到？
5	身份证丢失可以乘机吗
4	身份信息已被使用
4	为什么我的证件已经被其他人注册了呢？
11	怎么订机票？
13	怎样打印纸质登机牌
13	怎样查询电子登机牌
14	我16号的行程，为什么还不能打印行程单
12	飞机可以带鸡蛋么
12	液体真空包装得火锅底料可以带上飞机吗
4	忘记帐号和密码了
1	为什么明天的航班到现在还是不能值机
1	值机预约成功会怎么显示
0	为什么没有行程
12	医用功能性敷料可以托运吗
0	买的需要中转的航班为什么没有第一班飞机的信息
14	你好，我需要报销机票怎么处理呢
0	他人帮我买的机票，怎么查询
4	你好！我原来的手机号已经注册过一次，我现在又换了一个新的手机号，我该怎么办理？
8	客服热线
10	怎样添加常客
19	接机投诉
1	为啥不能手机值机了？
6	可以开送机发票吗
1	如何找到常用联系人
1	为什么无法预约值机了
0	为什么没有短信提醒
1	如何让删除通行人信息
19	你个垃圾
1	我的手机值机 已经取消了嘛
0	帮我审核一下行程
0	7月14日乘SC8065，为什么查不到行程？外方统一订票。
1	怎样修改同行人的身份证信息
19	尼玛币
1	现在能预约值机返程吗？
12	行李托运费一公斤多少钱？
1	在手机上值机了，到机场就不用取票了吗？
15	延误险
12	一个人带几部手机
5	身份证没有带
1	如何添加家里人登机
14	行程单电子版
19	还是不行，
0	查看全部机票订单
1	为什么只能预约两个同行人的位置
0	我的飞行路程为什么没春秋航空的？
4	换了护照，号码变了，如何更新？
19	怎么投诉？
12	请问这个航班有免费行李托运吗？
1	值机怎么使用
1	东航 想给孩子选座 怎么添加同行人啊
8	机场热线多少
12	腊排骨可以带上飞机吗？
0	国外的航空公司能自动显示行程吗
20	机场轮椅服务
1	维珍航空可以值机嘛
1	值机完成，无法取消
1	你好，办理值机显示非我本人值机，不可办理
1	预约位置可以更换吗？
1	为什么别人可以值机？我的不能？
1	带婴儿乘坐飞机，不能手机选座吗
12	需要托运行李，就不能提前选座吗？
20	孕妇可以提前登机吗
5	14岁的小孩子，没有身份证，怎么办机票？
1	35排那两个位置有窗户吗
13	我想找电子乘机牌在哪里能找到
12	飞机可以带充电宝吗
0	不是，要添加行程，查看航班状态，为什么添加不了。
1	儿童如何选座
1	点击哪里选座？
1	我要办理值机，现在怎么办不了值机
17	哈喽呀
1	成都双流国际机场直飞普吉岛可以网上值机吗
1	春秋办理网上值机，没有信息
12	托运的肝素针剂，医生处方在办理托运时出示吗
1	亲，为什么家人和我同一班飞机，为什么值不起机了？
12	充电宝可以带多少毫安的
1	为啥直接显示非本人行程无法直接
0	你好 我上个月有个15号的飞行记录 南方航空的
1	值机可以办理同行两人吗
6	接机怎么开发票
15	加了QQ 没通过
15	里程累计
11	查机票
1	有些航空公司的票号是8位，怎样手动添加行程
1	安全通道
13	电子票怎么用
8	请给我一个人工客服电话
13	和我同坐一个航班的同事也遇我在航旅纵横办理的手机值机手续，他的登机牌如何找到
8	我联系我的客服没人回答我卜
1	怎么取消值机
12	坐飞机可以带卷发棒吗？
1	经济舱不能给公务舱值机？
1	我九日下午乘国际航班  我没买头等座  有幸成为贵宾的  想知道  谢谢
5	临时身份证可以取票吗
4	另外原来登记的护照名字英文写错了
1	为他人预约选座
11	购买机票后多长时间可以查询到
6	我通过航旅纵横下单的接机服务，发票如何开？
12	托运的液体有什么要求
15	旅客吃素食，飞机上提供的餐食有素食么
8	南方航空电话
15	怎样兑换里程
1	航旅纵横为什么不能选座？
0	为什么我查不到我未来的行程呢
1	为什么是自己本人的行程却显示非本人行程无法值机
1	值机被更改，无法取消😡😡😡
1	帮别人取消座位
15	什么叫open票啊
15	值机后可以退票吗
15	我现在要改签
12	行李额可以共用吗
7	可以兑换升舱或者VIP么？
4	手机值机姓名不对
0	不小心删除了行程
1	可以在线选座吗
12	防晒喷雾能过安检吗
11	请问查询机票以后，只能通过电话订票吗，能在线订票吗
1	怎样添加随行人家值机选座
12	活络油可以带吗
8	天津航空公司服务热线是多少
0	我以前的行程为什么不显示
1	帮他人值机
1	已添加同行人 但值机不了
1	怎么为儿童手机值机
1	我现在为什么不能值机？
14	打印电子发票在哪里
12	摸脸油可以过安检吗
12	笔记本电脑把电池拆下来之后可以托运吗
1	我已经选好飞机座位，小孩子的没添加然后该怎么选
12	骨灰盒可以带上飞机吗
